im,L,k,qs,MSE,SNR,PSNR
zelda_256,64,0,1.0,5.0851593017578125,20.448066230371992,41.067757983405706
zelda_256,64,1,1.0,4.026885986328125,25.82185702484976,42.081110273144944
zelda_256,64,2,1.0,3.7844390869140634,27.47611252454469,42.35078841499436
zelda_256,64,3,1.0,4.328903198242188,24.02032788272077,41.76702486521444
zelda_256,64,4,1.0,4.9449462890625,21.02786726406477,41.189187821218624
airplane_256,64,0,1.1,4.5164794921875,25.727715613935512,41.58280318279992
airplane_256,64,1,1.1,5.0864105224609375,22.844931496986582,41.066689518539135
airplane_256,64,2,1.1,5.834518432617188,19.91573105701008,40.4707534464896
airplane_256,64,3,1.1,5.6444244384765625,20.586456815521487,40.61460697323939
airplane_256,64,4,1.1,6.438980102539063,18.04613434126805,40.04263277811947
arctichare_256,64,0,1.1,4.520919799804688,14.053246389431726,41.57853558060825
arctichare_256,64,1,1.1,5.113067626953125,12.425730400787849,41.04398823995404
arctichare_256,64,2,1.1,3.813385009765625,16.660683275046615,42.31769705823577
arctichare_256,64,3,1.1,5.1236572265625,12.400048840921546,41.0350029318946
arctichare_256,64,4,1.1,4.499435424804688,14.120349300551082,41.59922337597958
baboon_256,64,0,1.1,5.569107055664063,17.793167788655175,40.67294794399003
baboon_256,64,1,1.1,6.4124298095703125,15.453121393472856,40.0605773650759
baboon_256,64,2,1.1,6.6761474609375,14.8427003528917,39.88554440175833
baboon_256,64,3,1.1,5.5862884521484375,17.73844246018197,40.659570038061794
baboon_256,64,4,1.1,5.39190673828125,18.377924746154108,40.81337989098827
barbara_256,64,0,1.1,5.7501373291015625,18.79748753453048,40.53402143907182
barbara_256,64,1,1.1,6.094741821289063,17.734653564498966,40.28125047626281
barbara_256,64,2,1.1,6.334014892578125,17.064711182204064,40.1140128071473
barbara_256,64,3,1.1,5.782928466796875,18.69089949602892,40.509325406320194
barbara_256,64,4,1.1,5.2028350830078125,20.77485314086453,40.96840300813657
boat_256,64,0,1.1,5.860275268554688,18.228912745177173,40.45162344712174
