Unnamed: 0,im,L,k,MSE,SNR,PSNR
24,arctichare_256,32,4,2.759735107421875,23.02162975085977,43.72212962464255
25,arctichare_256,40,0,2.984466552734375,21.288092438263718,43.38213644801984
26,arctichare_256,40,1,3.405029296875,18.65875277837528,42.80959507932935
27,arctichare_256,40,2,3.564697265625,17.82300013697692,42.61057707872516
28,arctichare_256,40,3,4.3041839599609375,14.76089322494762,41.79189536153676
29,arctichare_256,40,4,3.58642578125,17.715018720217834,42.58418513045428
30,arctichare_256,48,0,5.02496337890625,12.643594602145052,41.119474598294914
31,arctichare_256,48,1,4.066207885742188,15.624779066582107,42.03890782600624
32,arctichare_256,48,2,3.98101806640625,15.9591337677271,42.130862123913886
33,arctichare_256,48,3,3.966018676757813,16.01949083745965,42.14725605816136
34,arctichare_256,48,4,4.339767456054688,14.639862733860504,41.756139021521776
35,arctichare_256,56,0,5.85626220703125,10.848831149881708,40.45459847374023
36,arctichare_256,56,1,6.007003784179688,10.576587286467264,40.34422455331769
37,arctichare_256,56,2,4.01910400390625,15.807901410803504,42.08951116124456
38,arctichare_256,56,3,4.2984619140625,14.780542697299293,41.79767277783812
39,arctichare_256,56,4,4.1414947509765625,15.340741368447812,41.959232456071945
40,arctichare_256,64,0,5.001510620117188,12.702882124846314,41.13979165552638
41,arctichare_256,64,1,5.4417266845703125,11.675264770952449,40.77343635692414
42,arctichare_256,64,2,5.6981048583984375,11.149952735578996,40.57349923861117
43,arctichare_256,64,3,7.165740966796875,8.866298704893806,39.578192559945634
44,arctichare_256,64,4,5.333526611328125,11.912118281846324,40.86065894548084
45,arctichare_256,72,0,6.378082275390625,9.961238678067147,40.083902436534
46,arctichare_256,72,1,5.782318115234375,10.987565641905263,40.5097838008974
47,arctichare_256,72,2,4.902252197265625,12.960083915909784,41.22684711017656
48,arctichare_256,72,3,5.8643341064453125,10.833898393286931,40.448616556379584
49,arctichare_256,72,4,6.156997680664063,10.318925416041932,40.23711370874771
50,arctichare_256,80,0,6.751800537109375,9.409875114692897,39.8366075706552
51,arctichare_256,80,1,6.554595947265625,9.69298494745811,39.96534435746677
52,arctichare_256,80,2,6.274932861328125,10.124984801840316,40.15471277425704
53,arctichare_256,80,3,6.345260620117188,10.012764432730622,40.10630896209562
54,arctichare_256,80,4,6.85272216796875,9.271293698508128,39.77217236428895
55,arctichare_256,88,0,6.83721923828125,9.292315726515564,39.78200854911237
56,arctichare_256,88,1,7.992218017578125,7.949432774954275,39.104130384853576
57,arctichare_256,88,2,7.3210906982421875,8.67816046436499,39.485045736699774
58,arctichare_256,88,3,7.075592041015625,8.979262722500895,39.63317576121936
59,arctichare_256,88,4,7.87396240234375,8.068821846876526,39.168870241365376
60,arctichare_256,96,0,7.7309722900390625,8.218060739316737,39.248462442271055
61,arctichare_256,96,1,8.086135864257812,7.8571026903401,39.053393267391954
62,arctichare_256,96,2,7.5810699462890625,8.380558457268338,39.3334985721775
63,arctichare_256,96,3,8.01318359375,7.928633995490829,39.09275267691442
64,arctichare_256,96,4,7.8920440673828125,8.05033516172254,39.15890859279172
65,arctichare_256,104,0,8.190811157226562,7.756692058204932,38.99753447671201
66,arctichare_256,104,1,9.206619262695312,6.900861004532911,38.48980177478506
67,arctichare_256,104,2,8.9866943359375,7.069740827775439,38.594803905663
68,arctichare_256,104,3,8.462448120117188,7.507709229257386,38.85584341652215
69,arctichare_256,104,4,8.731201171875,7.276616195509325,38.72006366139164
70,arctichare_256,112,0,8.662872314453125,7.334010885456115,38.75418447662152
71,arctichare_256,112,1,9.0045166015625,7.055747983460991,38.58619957750004
72,arctichare_256,112,2,8.949935913085938,7.098777071757739,38.61260435350075
73,arctichare_256,112,3,8.505279541015625,7.469901435588677,38.833917688304965
74,arctichare_256,112,4,8.73663330078125,7.2720918534871215,38.71736253242376
75,arctichare_256,120,0,10.065078735351562,6.312280462383931,38.102631843064295
76,arctichare_256,120,1,9.634185791015623,6.5945998169107325,38.292653436315696
77,arctichare_256,120,2,9.2718505859375,6.852310578632085,38.45913936426791
78,arctichare_256,120,3,10.5343017578125,6.03111637716259,37.90474606189925
79,arctichare_256,120,4,10.24530029296875,6.201243305393217,38.02555668636504
80,arctichare_256,128,0,11.050537109375,5.749367585003204,37.6969697352834
81,arctichare_256,128,1,9.693740844726562,6.554084833831531,38.26588955880352
82,arctichare_256,128,2,9.385055541992188,6.769656244360297,38.40643513691116
83,arctichare_256,128,3,9.4647216796875,6.712674921003418,38.36972513276294
84,arctichare_256,128,4,10.755874633789062,5.906874337669192,37.81434629251466
0,baboon_256,0,0,0.0,inf,inf
1,baboon_256,0,1,0.0,inf,inf
2,baboon_256,0,2,0.0,inf,inf
3,baboon_256,0,3,0.0,inf,inf
4,baboon_256,0,4,0.0,inf,inf
5,baboon_256,8,0,0.891632080078125,111.1355888694938,48.62894675274299
6,baboon_256,8,1,0.703277587890625,140.90034714688653,49.65953583367089
7,baboon_256,8,2,1.0487213134765625,94.48845465524016,47.92420266477375
8,baboon_256,8,3,0.8764190673828125,113.0646969723349,48.70368543360964
9,baboon_256,8,4,1.164398193359375,85.10152011531909,47.46978837937158
10,baboon_256,16,0,1.8533172607421875,53.467400521986846,45.45130590337123
11,baboon_256,16,1,1.1278076171875,87.8625527654508,47.60845337390423
12,baboon_256,16,2,2.619903564453125,37.82278768535452,43.9479505511941
13,baboon_256,16,3,2.534576416015625,39.09610128472181,44.09174971383209
14,baboon_256,16,4,2.26385498046875,43.77137984955919,44.58231757786037
15,baboon_256,24,0,2.93463134765625,33.766441005802704,43.4552680851577
16,baboon_256,24,1,2.5209503173828125,39.30742132883005,44.11516074135974
17,baboon_256,24,2,1.9600982666015625,50.55463696022794,45.20802516259888
18,baboon_256,24,3,2.94549560546875,33.64189581218011,43.43921981740933
19,baboon_256,24,4,2.7822723388671875,35.615512863402785,43.68680722818485
20,baboon_256,32,0,3.406234741210937,29.09137619775031,42.808057867364354
21,baboon_256,32,1,3.4481353759765625,28.737867128070555,42.7549605270437
22,baboon_256,32,2,3.2583160400390625,30.412045687632588,43.00087154502442
23,baboon_256,32,3,2.8445281982421875,34.83602529785054,43.59070117515295
24,baboon_256,32,4,3.2627410888671875,30.37079975868342,42.99497748660663
25,baboon_256,40,0,4.0560455322265625,24.430706087270565,42.04977539226124
26,baboon_256,40,1,2.88458251953125,34.35230422547132,43.52997393491773
27,baboon_256,40,2,3.7919921875,26.13192521890291,42.34212926961675
28,baboon_256,40,3,3.8977203369140634,25.42308008502942,42.222696857815805
29,baboon_256,40,4,3.9445648193359375,25.121163122652423,42.170812638385904
30,baboon_256,48,0,4.3621673583984375,22.71624358557292,41.73378037214717
31,baboon_256,48,1,4.886688232421875,20.277957496237363,41.24065728665584
32,baboon_256,48,2,4.495864868164063,22.040710559630195,41.6026711166381
33,baboon_256,48,3,4.2625885009765625,23.246920562872067,41.83406951838205
34,baboon_256,48,4,3.98272705078125,24.88045377224036,42.12899817049952
35,baboon_256,56,0,5.557052612304688,17.83176499984898,40.68235852309013
36,baboon_256,56,1,5.1305999755859375,19.31393145946782,41.02912206116664
37,baboon_256,56,2,4.63702392578125,21.369753070169665,41.46841024125014
38,baboon_256,56,3,6.0543365478515625,16.367120574025208,40.310138020583295
39,baboon_256,56,4,4.84527587890625,20.451272280657555,41.27761851044457
40,baboon_256,64,0,5.5950469970703125,17.710674517354512,40.65276622017379
41,baboon_256,64,1,6.3255767822265625,15.66529973248294,40.119802291358496
42,baboon_256,64,2,6.4792327880859375,15.293794730855373,40.01556777161972
43,baboon_256,64,3,6.928237915039063,14.302634737660473,39.72457567970843
44,baboon_256,64,4,6.134613037109375,16.152943254120256,40.252931876351
45,baboon_256,72,0,6.399566650390625,15.484182240428035,40.069297943396506
46,baboon_256,72,1,6.875167846679688,14.413038122737593,39.75797055602413
47,baboon_256,72,2,6.3992767333984375,15.484883745883836,40.06949469453434
48,baboon_256,72,3,6.675384521484375,14.84439674680784,39.88604073490619
49,baboon_256,72,4,7.386199951171875,13.415837227462598,39.44659300645937
50,baboon_256,80,0,8.212814331054688,12.065542003028416,38.98588356122889
51,baboon_256,80,1,8.352737426757812,11.86342287702889,38.91251531551424
52,baboon_256,80,2,6.7077484130859375,14.77277473333652,39.865035956723126
53,baboon_256,80,3,6.3703155517578125,15.555282225708709,40.08919415346856
54,baboon_256,80,4,6.350265502929688,15.60439578923087,40.1028847745833
55,baboon_256,88,0,8.304550170898438,11.932260536116871,38.937642476912686
56,baboon_256,88,1,7.738861083984375,12.80447538714524,39.24403309918318
57,baboon_256,88,2,9.574722290039062,10.349339988430076,38.31954174535623
58,baboon_256,88,3,8.190460205078125,12.098472343834416,38.99772056310071
59,baboon_256,88,4,8.768722534179688,11.30062627573882,38.70144032811699
60,baboon_256,96,0,10.358734130859377,9.566039153298863,37.9777367433634
61,baboon_256,96,1,10.323928833007812,9.598289360305888,37.99235358752233
62,baboon_256,96,2,8.828643798828125,11.223927313452956,38.67186365775225
63,baboon_256,96,3,8.276153564453125,11.973201741932868,38.95251820443103
64,baboon_256,96,4,8.264373779296875,11.990267976824825,38.95870409735932
65,baboon_256,104,0,9.393295288085938,10.54923253611523,38.40262385814356
66,baboon_256,104,1,10.366592407226562,9.558787727135572,37.97444337549215
67,baboon_256,104,2,10.600250244140623,9.34808650665469,37.87764242927048
68,baboon_256,104,3,9.749526977539062,10.163780920110495,38.24096815531222
69,baboon_256,104,4,10.882843017578123,9.105346471906206,37.76337996245124
70,baboon_256,112,0,10.00250244140625,9.906726527175206,38.12971694814463
71,baboon_256,112,1,11.086990356445312,8.937687603995062,37.68266691091992
72,baboon_256,112,2,10.701904296875,9.259291947074257,37.83619297945329
73,baboon_256,112,3,9.42822265625,10.510152325340515,38.38650530626261
74,baboon_256,112,4,10.843658447265623,9.13824948990361,37.77904531118804
75,baboon_256,120,0,11.002410888671877,9.00639480538212,37.71592501080308
76,baboon_256,120,1,11.231918334960938,8.82236260265319,37.626264237393
77,baboon_256,120,2,12.990371704101562,7.628115540614352,36.99458782794834
78,baboon_256,120,3,11.728118896484377,8.449100588852142,37.43852000789024
79,baboon_256,120,4,10.12841796875,9.783567046714554,38.07538745823357
80,baboon_256,128,0,11.746673583984377,8.435754647129885,37.431654601024974
81,baboon_256,128,1,13.92071533203125,7.118316401916896,36.69418808296541
82,baboon_256,128,2,14.109664916992188,7.0229914641756,36.63563660822227
83,baboon_256,128,3,12.084793090820312,8.1997313093995,37.30841141811808
84,baboon_256,128,4,13.121917724609377,7.55164438263264,36.95083050496482
0,barbara_256,0,0,0.0,inf,inf
1,barbara_256,0,1,0.0,inf,inf
2,barbara_256,0,2,0.0,inf,inf
3,barbara_256,0,3,0.0,inf,inf
4,barbara_256,0,4,0.0,inf,inf
5,barbara_256,8,0,0.903533935546875,119.62819603472153,48.57135892134796
6,barbara_256,8,1,0.805999755859375,134.10442618605884,49.06745450612376
7,barbara_256,8,2,0.8736114501953125,123.72563883115296,48.71762043286492
8,barbara_256,8,3,1.097412109375,98.493659621802,47.72710612766437
9,barbara_256,8,4,1.3464202880859375,80.27815365088,46.83899713828999
10,barbara_256,16,0,1.798004150390625,60.11562027937608,45.58289670973667
11,barbara_256,16,1,1.338775634765625,80.7365565661401,46.86372561113401
12,barbara_256,16,2,1.537933349609375,70.28141680722294,46.26142846289415
13,barbara_256,16,3,1.5234527587890625,70.9494496249036,46.30251369270378
14,barbara_256,16,4,2.469268798828125,43.7733367938403,44.20511992080708
15,barbara_256,24,0,2.6982574462890625,40.05849586898373,43.81996976625922
16,barbara_256,24,1,2.579681396484375,41.89980007334587,44.01514289126755
17,barbara_256,24,2,2.34503173828125,46.09239738684573,44.42931635920375
18,barbara_256,24,3,3.3112335205078125,32.64286076357688,42.93090550973066
19,barbara_256,24,4,2.632415771484375,41.06043427352508,43.92725876761485
20,barbara_256,32,0,3.0992431640625,34.87565481113868,43.21824708904976
21,barbara_256,32,1,2.703887939453125,39.97507928804415,43.81091672224652
22,barbara_256,32,2,3.0630645751953125,35.28757951788623,43.2692420821564
23,barbara_256,32,3,3.071685791015625,35.18853884136588,43.257035721019214
24,barbara_256,32,4,3.2367401123046875,33.39413453515178,43.02972530888604
25,barbara_256,40,0,3.97564697265625,27.18755853048191,42.13672547676404
26,barbara_256,40,1,4.3218994140625,25.009405451207456,41.77405705776947
27,barbara_256,40,2,4.439605712890625,24.34633653429752,41.65735959293727
28,barbara_256,40,3,3.673751831054688,29.421730083110777,42.479705453281056
29,barbara_256,40,4,4.31695556640625,25.038046628681304,41.779027822982506
30,barbara_256,48,0,5.05352783203125,21.38864934719857,41.09485698971149
31,barbara_256,48,1,5.3499755859375,20.20348187190545,40.84728560700293
32,barbara_256,48,2,4.8311767578125,22.37304495034995,41.29027433599092
33,barbara_256,48,3,5.381881713867188,20.083706872843464,40.821462125125066
34,barbara_256,48,4,4.453155517578125,24.272256906134142,41.64412498602924
35,barbara_256,56,0,4.6380157470703125,23.304822721634967,41.46748142039393
36,barbara_256,56,1,5.444915771484375,19.851204187894787,40.77089194914314
37,barbara_256,56,2,6.888153076171875,15.691889185728654,39.749775709417584
38,barbara_256,56,3,5.590301513671875,19.33493828575796,40.6564512861788
39,barbara_256,56,4,5.035736083984375,21.464217537012683,41.11017399613318
40,barbara_256,64,0,5.66046142578125,19.095286874198035,40.60228525703921
41,barbara_256,64,1,6.5435791015625,16.51819792929764,39.97265004151402
42,barbara_256,64,2,6.5373077392578125,16.5340441473383,39.976814313072616
43,barbara_256,64,3,6.368988037109375,16.971006090110638,40.09009927718199
44,barbara_256,64,4,5.797271728515625,18.64465559445161,40.49856703859361
