,im,L,k,MSE,SNR,PSNR
109,arctichare_256,32,4,4941.40283203125,0.012857401432985182,11.192301010693487
110,arctichare_256,40,0,7627.57470703125,0.008329462810105168,9.306938909064591
111,arctichare_256,40,1,3837.269287109375,0.01655698234860542,12.290580832223771
112,arctichare_256,40,2,7071.541015625,0.00898440661139266,9.63566296200307
113,arctichare_256,40,3,6125.90625,0.010371298100344846,10.25910014727625
114,arctichare_256,40,4,3989.917724609375,0.0159235363330044,12.121164205988443
115,arctichare_256,48,0,8143.2265625,0.0078020179551544465,9.022838428778778
116,arctichare_256,48,1,6951.86279296875,0.009139075632760582,9.709791688951634
117,arctichare_256,48,2,7549.38037109375,0.008415737018203908,9.351690532728945
118,arctichare_256,48,3,6988.30615234375,0.009091416212812545,9.68708438031398
119,arctichare_256,48,4,6202.70849609375,0.010242880169772104,10.204989894260969
120,arctichare_256,56,0,5730.4931640625,0.011086934062141863,10.548883620742211
121,arctichare_256,56,1,7723.27783203125,0.008226248133922958,9.252787027292987
122,arctichare_256,56,2,7591.99267578125,0.008368501204721952,9.32724580425139
123,arctichare_256,56,3,7670.1162109375,0.008283264308683801,9.2827841681638
124,arctichare_256,56,4,7397.8837890625,0.00858807757259552,9.439728560249636
125,arctichare_256,64,0,7880.1572265625,0.008062478707830351,9.16545478156616
126,arctichare_256,64,1,8179.5556640625,0.007767365669098057,9.00350648625325
127,arctichare_256,64,2,8766.1240234375,0.007247627307536302,8.702727500925771
128,arctichare_256,64,3,4632.546875,0.013714615646175328,11.472605383921737
129,arctichare_256,64,4,6566.626953125,0.009675226003706598,9.957380159372729
130,arctichare_256,72,0,6604.1298828125,0.009620283213821133,9.932647549636958
131,arctichare_256,72,1,7571.9248046875,0.008390680242120776,9.338740684487659
132,arctichare_256,72,2,7938.65283203125,0.00800307069697862,9.133335507902366
133,arctichare_256,72,3,5609.369140625,0.01132633603900004,10.6416633992394
134,arctichare_256,72,4,7865.943359375,0.00807704771707939,9.173295460252342
135,arctichare_256,80,0,6678.62353515625,0.009512978163700198,9.883933972972057
136,arctichare_256,80,1,8531.7421875,0.007446732268422243,8.820426374189068
137,arctichare_256,80,2,5885.84375,0.010794306228994887,10.432716320566628
138,arctichare_256,80,3,6917.1123046875,0.009184988916612066,9.73155534023965
139,arctichare_256,80,4,6814.1474609375,0.009323778244853918,9.796688332241782
140,arctichare_256,88,0,6981.02880859375,0.00910089352092414,9.69160930655891
141,arctichare_256,88,1,8441.5126953125,0.007526328769107377,8.866600829198335
142,arctichare_256,88,2,8630.3056640625,0.007361685938665674,8.770541832448416
143,arctichare_256,88,3,7109.35205078125,0.008936623112725707,9.612503401090803
144,arctichare_256,88,4,6833.98828125,0.009296708925859432,9.784061311217048
145,arctichare_256,96,0,7001.58447265625,0.009074174581716122,9.678840280160655
146,arctichare_256,96,1,9217.310546875,0.006892856601761758,8.484761410114906
147,arctichare_256,96,2,6772.974609375,0.00938045740870988,9.823009133479212
148,arctichare_256,96,3,8559.01171875,0.007423006527065999,8.806567398673867
149,arctichare_256,96,4,5993.78515625,0.010599912775863541,10.353791890129251
150,arctichare_256,104,0,6231.4296875,0.010195669860635914,10.184926618557778
151,arctichare_256,104,1,7918.3505859375,0.008023590161105945,9.144456345849111
152,arctichare_256,104,2,7777.9150390625,0.008168461539427352,9.22217165983939
153,arctichare_256,104,3,8659.2177734375,0.007337106135430328,8.756016988763497
154,arctichare_256,104,4,8944.671875,0.007102954780386019,8.615159472658734
155,arctichare_256,112,0,5354.8837890625,0.011864608524891759,10.84330310595747
156,arctichare_256,112,1,5802.607421875,0.010949146691193177,10.49457171706226
157,arctichare_256,112,2,4730.697265625,0.013430070935879645,11.381552039999121
158,arctichare_256,112,3,5187.53271484375,0.012247363697913426,10.981195122887124
159,arctichare_256,112,4,7119.25439453125,0.008924192946710797,9.606458488738534
160,arctichare_256,120,0,7543.20068359375,0.008422631521881609,9.355246987812926
161,arctichare_256,120,1,6887.08740234375,0.009225031735751526,9.750447663224428
162,arctichare_256,120,2,6313.32666015625,0.0100634108249902,10.128220999687104
163,arctichare_256,120,3,6709.52783203125,0.009469161086150736,9.86388402123435
164,arctichare_256,120,4,7391.60546875,0.008595372158608979,9.443415827583346
165,arctichare_256,128,0,5943.22607421875,0.01069008633696763,10.390581101792291
166,arctichare_256,128,1,8365.3134765625,0.007594885718451646,8.905981407828342
167,arctichare_256,128,2,7833.6201171875,0.008110375395166092,9.191178537798137
168,arctichare_256,128,3,8729.546875,0.007277995154074434,8.720886595213797
169,arctichare_256,128,4,6887.68994140625,0.009224224724689634,9.750067723304367
170,baboon_256,0,0,0.0,inf,inf
171,baboon_256,0,1,0.0,inf,inf
172,baboon_256,0,2,0.0,inf,inf
173,baboon_256,0,3,0.0,inf,inf
174,baboon_256,0,4,0.0,inf,inf
175,baboon_256,8,0,0.541778564453125,182.90139694699488,50.79258542754527
176,baboon_256,8,1,0.9202728271484375,107.67682512311187,48.49163762044344
177,baboon_256,8,2,1.213165283203125,81.68059014414007,47.291603871299124
178,baboon_256,8,3,0.8499908447265625,116.5801454088502,48.83666112925556
179,baboon_256,8,4,1.2607269287109375,78.59914309574816,47.12459331548308
180,baboon_256,16,0,1.430511474609375,69.270368,46.575890150918525
181,baboon_256,16,1,1.1489105224609375,86.24871505412045,47.527941538633755
182,baboon_256,16,2,1.8495330810546875,53.57679583536148,45.46018257284072
183,baboon_256,16,3,1.88433837890625,52.587187834029734,45.37921467243211
184,baboon_256,16,4,0.877166748046875,112.96832272205407,48.69998200942078
185,baboon_256,24,0,2.3944091796875,41.38476293652817,44.33881992034111
186,baboon_256,24,1,2.8175048828125,35.17014535765348,43.63215683504979
187,baboon_256,24,2,2.3452911376953125,42.25149478532996,44.42883598402605
188,baboon_256,24,3,2.2714996337890625,43.62406878715615,44.56767689734171
189,baboon_256,24,4,1.92156982421875,51.56828288282565,45.29424190791481
190,baboon_256,32,0,1.5869293212890625,62.44263997461563,46.12522776304425
191,baboon_256,32,1,3.4557342529296875,28.674674908930346,42.74540023161671
192,baboon_256,32,2,3.0750732421875,32.22429141360009,43.25224896594179
193,baboon_256,32,3,2.5824432373046875,38.371436337101095,44.01049576463774
194,baboon_256,32,4,2.229034423828125,44.45514847825194,44.649635853606824
195,baboon_256,40,0,2.4558258056640625,40.34979030103452,44.228828022757504
196,baboon_256,40,1,2.7074737548828125,36.599452199935754,43.805161054190535
197,baboon_256,40,2,2.1421661376953125,46.25787632934204,44.822272109517634
198,baboon_256,40,3,3.6793060302734375,26.93226805791139,42.47314448619402
199,baboon_256,40,4,2.5230865478515625,39.27414077760911,44.111482127642546
200,baboon_256,48,0,2.9665374755859375,33.4032713525191,43.40830521817436
201,baboon_256,48,1,3.113494873046875,31.826632229987357,43.19832205957202
202,baboon_256,48,2,2.8050079345703125,35.326836353350124,43.65146266778322
203,baboon_256,48,3,3.332000732421875,29.73950615022485,42.90375272668952
204,baboon_256,48,4,3.940826416015625,25.144993920996182,42.17493055214902
205,baboon_256,56,0,3.3155059814453125,29.8874611685114,42.92530545116233
206,baboon_256,56,1,4.205474853515625,23.562631979971698,41.89265320396696
207,baboon_256,56,2,2.59442138671875,38.19427976568565,43.990398451476224
208,baboon_256,56,3,3.168975830078125,31.269426334492156,43.12161434048619
209,baboon_256,56,4,2.4273681640625,40.82283756600452,44.27944709177667
210,baboon_256,64,0,2.4802703857421875,39.952118464198044,44.18581333011471
211,baboon_256,64,1,3.81768798828125,25.95603846584278,42.31279929346894
212,baboon_256,64,2,3.15045166015625,31.453285739194452,43.14707540585534
213,baboon_256,64,3,3.4634246826171875,28.611003661131647,42.73574613179565
214,baboon_256,64,4,2.9984588623046875,33.04766242423934,43.36182266005477
215,baboon_256,72,0,3.0458221435546875,32.53376316936441,43.29375821135105
216,baboon_256,72,1,3.8209686279296875,25.933752910215606,42.30906888940547
217,baboon_256,72,2,3.5186920166015625,28.161616818660804,42.666991052131536
218,baboon_256,72,3,3.7767791748046875,26.23718562511363,42.359587681419015
219,baboon_256,72,4,3.3170928955078125,29.873162855526267,42.92322726719091
220,baboon_256,80,0,4.5049285888671875,21.996365607058785,41.593924498384524
221,baboon_256,80,1,3.1581268310546875,31.376845065250688,43.13650793485338
222,baboon_256,80,2,4.531402587890625,21.867855338923125,41.56847712519593
223,baboon_256,80,3,3.9243621826171875,25.250486999731713,42.193112789149765
224,baboon_256,80,4,4.72747802734375,20.960870828222838,41.38450841886113
225,baboon_256,88,0,4.5470428466796875,21.792637460360073,41.55351314296652
226,baboon_256,88,1,3.265533447265625,30.344829680856034,42.99126224481897
227,baboon_256,88,2,3.9134063720703125,25.321177218299287,42.205254130479304
228,baboon_256,88,3,4.220245361328125,23.48016472749098,41.87742659675622
229,baboon_256,88,4,4.396270751953125,22.540025823111684,41.699959295144865
230,baboon_256,96,0,3.979400634765625,24.901251562535947,42.132626959841275
231,baboon_256,96,1,4.495025634765625,22.044825619683216,41.6034818804549
232,baboon_256,96,2,3.747772216796875,26.44025584860798,42.393071735279364
233,baboon_256,96,3,3.40631103515625,29.09072461430952,42.80796059377372
234,baboon_256,96,4,4.4083099365234375,22.478468551728433,41.68808239863124
235,baboon_256,104,0,4.5625762939453125,21.718443679706233,41.53870221208876
236,baboon_256,104,1,4.8887481689453125,20.269413119676393,41.23882694570387
237,baboon_256,104,2,4.915618896484375,20.15861244761757,41.215021558092445
238,baboon_256,104,3,3.7861175537109375,26.17247216143346,42.348862667880944
239,baboon_256,104,4,3.8762359619140625,25.5639897178713,42.24670154450466
240,baboon_256,112,0,4.7346649169921875,20.929053694757503,41.377911124495704
241,baboon_256,112,1,5.08282470703125,19.49546993767787,41.06975228556859
242,baboon_256,112,2,4.492279052734375,22.058303838916327,41.60613634805976
243,baboon_256,112,3,5.3730010986328125,18.442589989350374,40.82863431497779
244,baboon_256,112,4,5.223175048828125,18.971613118087326,40.95145779896665
245,baboon_256,120,0,5.0420684814453125,19.65305640712148,41.1047162089364
246,baboon_256,120,1,4.56134033203125,21.72432860985107,41.53987883713786
247,baboon_256,120,2,5.087158203125,19.478862720161253,41.06605117108021
248,baboon_256,120,3,4.590576171875,21.585973647822158,41.512131627899144
249,baboon_256,120,4,4.0172882080078125,24.6664045852847,42.09147370894402
250,baboon_256,128,0,4.692108154296875,21.118877275594954,41.41712346709802
251,baboon_256,128,1,4.6089630126953125,21.499859296216226,41.494771379781014
252,baboon_256,128,2,4.904754638671875,20.20326470423534,41.2246307427654
253,baboon_256,128,3,3.7556610107421875,26.384717894129547,42.38393975305799
254,baboon_256,128,4,5.770965576171875,17.170793165629313,40.518318771194956
255,barbara_256,0,0,0.0,inf,inf
256,barbara_256,0,1,0.0,inf,inf
257,barbara_256,0,2,0.0,inf,inf
258,barbara_256,0,3,0.0,inf,inf
259,barbara_256,0,4,0.0,inf,inf
260,barbara_256,8,0,1.4772491455078125,73.16852075650998,46.43626613427138
261,barbara_256,8,1,1.67413330078125,64.5636370265048,45.89290325676089
262,barbara_256,8,2,0.98333740234375,109.91968220470486,48.20377802512684
263,barbara_256,8,3,1.4241790771484375,75.89504473134409,46.595157596796895
264,barbara_256,8,4,0.77508544921875,139.45318529018033,49.23730776969975
265,barbara_256,16,0,1.8836212158203125,57.38315849163595,45.38086787473844
266,barbara_256,16,1,1.7390899658203125,62.152123748607124,45.727583115571555
267,barbara_256,16,2,1.061920166015625,101.78555622611145,47.86988492674372
268,barbara_256,16,3,2.023468017578125,53.41726868260312,45.06984016434423
269,barbara_256,16,4,1.9765167236328125,54.68617263554461,45.17179867536393
270,barbara_256,24,0,2.179107666015625,49.60201666549961,44.74801672337432
271,barbara_256,24,1,1.78277587890625,60.6291211612859,45.619836114515174
272,barbara_256,24,2,1.5846710205078125,68.20856402800112,46.131412449813254
273,barbara_256,24,3,2.123779296875,50.89424071732383,44.859709779921545
274,barbara_256,24,4,2.4484100341796875,44.146255429735945,44.241962101927214
275,barbara_256,32,0,2.688873291015625,40.1982998331612,43.83510023616449
276,barbara_256,32,1,2.06121826171875,52.438956501140034,44.9895637935495
277,barbara_256,32,2,2.1890716552734375,49.3762433519444,44.72820383228472
278,barbara_256,32,3,1.7486724853515625,61.811537421139434,45.70371884221608
279,barbara_256,32,4,2.852691650390625,37.88987665415022,43.57825529894693
280,barbara_256,40,0,3.0074615478515625,35.93998893945621,43.348802775285606
281,barbara_256,40,1,2.72088623046875,39.7253415285224,43.78369978041701
282,barbara_256,40,2,3.21234130859375,33.64777412551538,43.06258678382052
283,barbara_256,40,3,2.46954345703125,43.768468401670745,44.20463687939562
284,barbara_256,40,4,2.7839202880859375,38.825872719200646,43.68423564893477
