,im,L,k,MSE,SNR,PSNR
0,baboon_256,0,0,0.0,inf,inf
1,baboon_256,0,1,0.0,inf,inf
2,baboon_256,0,2,0.0,inf,inf
3,baboon_256,0,3,0.0,inf,inf
4,baboon_256,0,4,0.0,inf,inf
5,baboon_256,8,0,0.6233608722686768,158.96419021902304,50.18340822296848
6,baboon_256,8,1,0.7111836075782776,139.33399929146614,49.610986230580934
7,baboon_256,8,2,0.41823792457580566,236.92747704531425,51.91656950063844
8,baboon_256,8,3,0.5111702680587769,193.8533253327245,51.045147754858064
9,baboon_256,8,4,0.9165975451469421,108.10857698569153,48.50901671095259
10,baboon_256,16,0,1.197266936302185,82.76521573414907,47.348893716656406
11,baboon_256,16,1,1.8925795555114746,52.35819862147574,45.360262165301705
12,baboon_256,16,2,1.894497036933899,52.30520520358644,45.355864305096105
13,baboon_256,16,3,1.8895570039749146,52.441951243578146,45.36720362662868
14,baboon_256,16,4,1.9867807626724243,49.87568741159194,45.14930414651258
15,baboon_256,24,0,1.5080502033233643,65.70872511806307,46.346645613345586
16,baboon_256,24,1,2.2795534133911133,43.46994270557695,44.55230588032826
17,baboon_256,24,2,2.950834274291992,33.58103067248319,43.43135541670074
18,baboon_256,24,3,1.9832310676574707,49.96495763423999,45.15707043756731
19,baboon_256,24,4,2.1371266841888428,46.36695475636951,44.832500939151444
20,baboon_256,32,0,2.772855043411255,35.736471875755846,43.70153194316409
21,baboon_256,32,1,3.234642505645752,30.634623795816253,43.03254071660604
22,baboon_256,32,2,3.2131268978118896,30.83975810040209,43.061524831435975
23,baboon_256,32,3,3.3661201000213623,29.43806320926731,42.85950753730169
24,baboon_256,32,4,3.2261545658111572,30.71522279946906,43.043951901674745
25,baboon_256,40,0,4.0843658447265625,24.261307640292447,42.01955725095061
26,baboon_256,40,1,3.076357364654541,32.21084046116391,43.25043577045843
27,baboon_256,40,2,4.387111663818359,22.587083226454386,41.70901672356976
28,baboon_256,40,3,3.4687914848327637,28.566737639806984,42.72902166447655
29,baboon_256,40,4,3.335360288619995,29.7095509029441,42.89937607200601
30,baboon_256,48,0,3.936947822570801,25.169766209831963,42.17920701861207
31,baboon_256,48,1,4.559092044830322,21.735041824123122,41.54202000480301
32,baboon_256,48,2,3.8247580528259277,25.90805873359748,42.30476393181152
33,baboon_256,48,3,3.310326099395752,29.934228018351956,42.93209582744075
34,baboon_256,48,4,3.788728713989258,26.154434311576054,42.345868514587046
35,baboon_256,56,0,4.9835591316223145,19.883792618340276,41.155407451887946
36,baboon_256,56,1,4.997085094451904,19.82997175381957,41.14363615840724
37,baboon_256,56,2,4.341693878173828,22.823363197612967,41.75421161672739
38,baboon_256,56,3,5.543478965759277,17.875427486327922,40.69297956892133
39,baboon_256,56,4,4.952444076538086,20.008717865963774,41.182607807235634
40,baboon_256,64,0,6.204405784606934,15.971240391829372,40.20380166785571
41,baboon_256,64,1,6.434661865234375,15.39973014118975,40.04554630749679
42,baboon_256,64,2,6.619194507598877,14.97041009455996,39.92275217680338
43,baboon_256,64,3,6.760944843292236,14.656539665861446,39.83072967950803
44,baboon_256,64,4,6.700320243835449,14.789152259637522,39.86984800434717
45,baboon_256,72,0,6.028046131134033,16.43850330915969,40.32903793665214
46,baboon_256,72,1,5.837023735046387,16.976469648298693,40.46888901585724
47,baboon_256,72,2,7.55560827255249,13.115033588280255,39.34810927430572
48,baboon_256,72,3,6.509751319885254,15.222095500287212,39.99515962540031
49,baboon_256,72,4,6.364649772644043,15.569129459459418,40.09305850127706
50,baboon_256,80,0,6.9522905349731445,14.25315236409303,39.70952447959647
51,baboon_256,80,1,8.603342056274414,11.517856157090286,38.78413170711671
52,baboon_256,80,2,6.808154106140137,14.554907942674937,39.80050983196665
53,baboon_256,80,3,7.087875843048096,13.980501135838203,39.6256425937483
54,baboon_256,80,4,7.661752700805664,12.933340469732746,39.28752230763106
55,baboon_256,88,0,7.885768413543701,12.565935375964731,39.162363421500935
56,baboon_256,88,1,8.136564254760742,12.178611656195653,39.02639302438987
57,baboon_256,88,2,7.898028373718262,12.546429511972386,39.15561671258834
58,baboon_256,88,3,7.928704261779785,12.497887801426272,39.1387814176448
59,baboon_256,88,4,6.967020034790039,14.223018705213232,39.70033301447702
60,baboon_256,96,0,8.323980331420898,11.904407786785232,38.92749315513504
61,baboon_256,96,1,8.544074058532715,11.597752500220167,38.81415356778853
62,baboon_256,96,2,8.567219734191895,11.566419369277558,38.802404549308534
63,baboon_256,96,3,8.855080604553223,11.19041832588871,38.65887842100331
64,baboon_256,96,4,7.700791358947754,12.867775746096065,39.26545003855868
65,baboon_256,104,0,10.700027465820312,9.260916066893218,37.83695468394019
66,baboon_256,104,1,10.05760669708252,9.852448923376413,38.105857123456275
67,baboon_256,104,2,8.743112564086914,11.333727611084775,38.71414291075296
68,baboon_256,104,3,8.385212898254395,11.817476488288415,38.895662671681066
69,baboon_256,104,4,11.007491111755371,9.002238136589492,37.71392017416988
70,baboon_256,112,0,11.012845039367676,8.997861671547103,37.71180832515142
71,baboon_256,112,1,9.25394058227539,10.708092989510957,38.467536542141644
72,baboon_256,112,2,9.81447696685791,10.09651931621357,38.21213200738305
73,baboon_256,112,3,10.600460052490234,9.3479014857601,37.87755647119906
74,baboon_256,112,4,11.092344284057617,8.933373661763575,37.68057020125628
75,baboon_256,120,0,10.219833374023438,9.696054000868958,38.036365458257805
76,baboon_256,120,1,9.766480445861816,10.146137784610078,38.233422759951345
77,baboon_256,120,2,11.565339088439941,8.56801997041841,37.49921990334599
78,baboon_256,120,3,10.998566627502441,9.009542755019517,37.71744270830415
79,baboon_256,120,4,10.544086456298828,9.397879720079347,37.90071402603221
80,baboon_256,128,0,11.986798286437988,8.266765979246355,37.34377163775556
81,baboon_256,128,1,10.771468162536621,9.199493957477236,37.808054587368346
82,baboon_256,128,2,12.552824020385742,7.894005055236089,37.14338920429225
83,baboon_256,128,3,13.679359436035156,7.243910560123058,36.77014599734443
84,baboon_256,128,4,12.58122730255127,7.876183610029826,37.13357352133293
