,im,L,k,MSE,SNR,PSNR
0,arctichare_256,0,0,0.0,inf,inf
1,arctichare_256,0,1,0.0,inf,inf
2,arctichare_256,0,2,0.0,inf,inf
3,arctichare_256,0,3,0.0,inf,inf
4,arctichare_256,0,4,0.0,inf,inf
5,arctichare_256,8,0,1.388519287109375,45.75636827183015,46.70528444209075
6,arctichare_256,8,1,0.87353515625,72.7315888764673,48.7179997260433
7,arctichare_256,8,2,1.134033203125,56.0244617868676,47.58454590506024
8,arctichare_256,8,3,1.200714111328125,52.91317829457364,47.33640746181593
9,arctichare_256,8,4,1.1705780029296875,54.275408981294404,47.44680002114876
10,arctichare_256,16,0,1.5922393798828125,39.90204026871364,46.110720000121574
11,arctichare_256,16,1,1.2821502685546875,49.552381972461234,47.05141433204879
12,arctichare_256,16,2,1.778076171875,35.73165247837429,45.63129998881414
13,arctichare_256,16,3,1.385833740234375,45.845037545969035,46.713692301807896
14,arctichare_256,16,4,1.7287750244140625,36.75064653079958,45.75341881193041
15,arctichare_256,24,0,1.7308349609375,36.706908103533394,45.74824701988038
16,arctichare_256,24,1,2.32049560546875,27.379323496146664,44.474996105746065
17,arctichare_256,24,2,1.84844970703125,34.371289417203236,45.46272722164326
18,arctichare_256,24,3,1.2428131103515625,51.120799518717234,47.18674534917652
19,arctichare_256,24,4,1.9650421142578125,32.3319278464991,45.19708498373369
20,arctichare_256,32,0,1.5025482177734375,42.28390084390328,46.36251943170218
21,arctichare_256,32,1,1.9512176513671875,32.561000977517104,45.227746447713926
22,arctichare_256,32,2,2.0230712890625,31.40452844988837,45.07069174142106
23,arctichare_256,32,3,2.2382659912109375,28.38518750809547,44.63168664890559
24,arctichare_256,32,4,2.4019622802734375,26.450706730616524,44.32514177783425
25,arctichare_256,40,0,2.3323822021484375,27.239789342841256,44.45280642103732
26,arctichare_256,40,1,2.5191497802734375,25.220255004694266,44.11826370895632
27,arctichare_256,40,2,2.8009033203125,22.68325343212029,43.657822424689876
28,arctichare_256,40,3,1.999847412109375,31.769223726175397,45.120835005074085
29,arctichare_256,40,4,3.036529541015625,20.923096250288943,43.30702850335173
30,arctichare_256,48,0,2.693756103515625,23.58550567016733,43.82722089337061
31,arctichare_256,48,1,2.33953857421875,27.156466045759306,44.43950150650573
32,arctichare_256,48,2,2.655517578125,23.92512871196102,43.88931180302954
33,arctichare_256,48,3,1.86627197265625,34.04305523759689,45.421054269146346
34,arctichare_256,48,4,2.8077545166015625,22.627904069909626,43.64721226336702
35,arctichare_256,56,0,2.36712646484375,26.83996854291829,44.388588999322266
36,arctichare_256,56,1,2.7920684814453125,22.755029210683077,43.67154294786029
37,arctichare_256,56,2,2.8454132080078125,22.328426561988877,43.58935017754754
38,arctichare_256,56,3,2.5161285400390625,25.25053821476437,44.12347536970786
39,arctichare_256,56,4,2.8007659912109375,22.684365653142724,43.65803536575336
40,arctichare_256,64,0,2.7423858642578125,23.167272221449437,43.74951799208037
41,arctichare_256,64,1,2.898712158203125,21.917871242827815,43.50875268765925
42,arctichare_256,64,2,2.8119659423828125,22.594014705483353,43.640703045218245
43,arctichare_256,64,3,2.73272705078125,23.24915685792777,43.764841050476775
44,arctichare_256,64,4,2.8756866455078125,22.09336679737452,43.543388002770634
45,arctichare_256,72,0,3.078277587890625,20.63933418592432,43.247725805078055
46,arctichare_256,72,1,3.110992431640625,20.42229328729363,43.201814063007404
47,arctichare_256,72,2,2.903167724609375,21.884233320368754,43.50208233831226
48,arctichare_256,72,3,2.92864990234375,21.69381864410312,43.46412902661153
49,arctichare_256,72,4,2.9398040771484375,21.611508177491267,43.44761972989289
50,arctichare_256,80,0,3.178009033203125,19.99163601793791,43.10925233552026
51,arctichare_256,80,1,3.7280731201171875,17.041940382198973,42.415959391194455
52,arctichare_256,80,2,3.3771820068359375,18.812607589675007,42.845258941221935
53,arctichare_256,80,3,3.2987213134765625,19.260068922450678,42.94734734359169
54,arctichare_256,80,4,3.592010498046875,17.68747610511202,42.57742763597263
55,arctichare_256,88,0,3.1926116943359375,19.900196433606876,43.089342607632446
56,arctichare_256,88,1,3.360198974609375,18.907689792656235,42.86715365913678
57,arctichare_256,88,2,2.9831695556640625,21.297347893915756,43.38402422626007
58,arctichare_256,88,3,3.389404296875,18.744768781963554,42.82956985176181
59,arctichare_256,88,4,3.837738037109375,16.554960041350245,42.29005034272703
60,arctichare_256,96,0,3.5853424072265625,17.72037162349076,42.5854972290928
61,arctichare_256,96,1,3.515960693359375,18.07005407469773,42.670363496290165
62,arctichare_256,96,2,3.4129180908203125,18.615623980077704,42.799544954230306
63,arctichare_256,96,3,3.699005126953125,17.175861528434357,42.44995427604447
64,arctichare_256,96,4,3.7328033447265625,17.020344761336368,42.41045250274524
65,arctichare_256,104,0,3.7191619873046875,17.082772966164626,42.42635266493746
66,arctichare_256,104,1,3.449249267578125,18.419544348595444,42.75355780121296
67,arctichare_256,104,2,3.951019287109375,16.080306178408396,42.163712111498334
68,arctichare_256,104,3,3.34588623046875,18.988571480691,42.88569191222901
69,arctichare_256,104,4,3.634735107421875,17.479568104917593,42.5260759507502
70,arctichare_256,112,0,4.1142578125,15.44229913363399,41.98788858380874
71,arctichare_256,112,1,3.5935516357421875,17.679890618962492,42.57556471253052
72,arctichare_256,112,2,3.2562255859375,19.51142455482662,43.003658764031584
73,arctichare_256,112,3,3.627288818359375,17.515451080692248,42.53498223752896
74,arctichare_256,112,4,3.893280029296875,16.31878502841466,42.2276471882336
75,arctichare_256,120,0,3.4917144775390625,18.19553123893844,42.70041637260199
76,arctichare_256,120,1,3.7339324951171875,17.01519776712558,42.40913898691143
77,arctichare_256,120,2,3.82843017578125,16.59520924671184,42.30059630176999
78,arctichare_256,120,3,3.862640380859375,16.448230637349788,42.261960844804
79,arctichare_256,120,4,3.853240966796875,16.488353674473124,42.272541919073575
80,arctichare_256,128,0,4.2938079833984375,14.79656288757245,41.80237741730671
81,arctichare_256,128,1,4.469451904296875,14.215076303301355,41.62826092665307
82,arctichare_256,128,2,4.3598175048828125,14.57253652988013,41.73612050104169
83,arctichare_256,128,3,4.2411651611328125,14.980222990548626,41.85595175611232
84,arctichare_256,128,4,3.2299346923828125,19.670242870033118,43.03886619658947
