,im,L,k,MSE,SNR,PSNR
0,lena_256,0,0,0.0,inf,inf
1,lena_256,0,1,0.0,inf,inf
2,lena_256,0,2,0.0,inf,inf
3,lena_256,0,3,0.0,inf,inf
4,lena_256,0,4,0.0,inf,inf
5,lena_256,8,0,1.33258056640625,78.73777080566116,46.883868853922465
6,lena_256,8,1,1.096893310546875,95.65599699524246,47.72915972941392
7,lena_256,8,2,1.0939483642578125,95.91350620004742,47.740835376338794
8,lena_256,8,3,0.69512939453125,150.94229080691895,49.71014707212532
9,lena_256,8,4,1.2459869384765625,84.20989015026268,47.175668711750056
10,lena_256,16,0,1.386810302734375,75.65881433884206,46.710633014600816
11,lena_256,16,1,1.323333740234375,79.28795286303992,46.91410975286787
12,lena_256,16,2,1.7928619384765625,58.52342613002885,45.59533513395161
13,lena_256,16,3,1.70855712890625,61.41112956810631,45.80450856015869
14,lena_256,16,4,1.669677734375,62.8411226056441,45.90447705102655
15,lena_256,24,0,2.4071044921875,43.58947588620113,44.31585417499636
16,lena_256,24,1,2.64166259765625,39.71908574201151,43.91203013650515
17,lena_256,24,2,2.3099517822265625,45.422776364897445,44.494774463140736
18,lena_256,24,3,2.6512603759765625,39.5752994192906,43.89627979684434
19,lena_256,24,4,2.280731201171875,46.00473004616311,44.55006256970779
20,lena_256,32,0,3.4253692626953125,30.631565583446555,42.78372964570393
21,lena_256,32,1,3.8704071044921875,27.109402288971854,42.253237126614636
22,lena_256,32,2,2.46832275390625,42.508388763878244,44.20678414146949
23,lena_256,32,3,2.66656494140625,39.348159719837945,43.87128195931354
24,lena_256,32,4,3.364501953125,31.1857221899717,42.86159576117161
25,lena_256,40,0,3.7219390869140625,28.190795380471545,42.42311099658754
26,lena_256,40,1,3.56451416015625,29.435827297477783,42.61080016565568
27,lena_256,40,2,4.29766845703125,24.414266541689745,41.79847452000907
28,lena_256,40,3,3.1684722900390625,33.115146232344,43.122304475242956
29,lena_256,40,4,3.403289794921875,30.830293492588705,42.81181429410396
30,lena_256,48,0,4.183563232421875,25.080157126496314,41.91534023357256
31,lena_256,48,1,3.6531829833984375,28.721370841425976,42.504089348399674
32,lena_256,48,2,4.4197845458984375,23.73971448792529,41.67679261837381
33,lena_256,48,3,5.1029205322265625,20.56164162368244,41.052615557503024
34,lena_256,48,4,5.9314117431640625,17.689620576197324,40.39922288195655
35,lena_256,56,0,4.94537353515625,21.21668312249306,41.188812604594
36,lena_256,56,1,5.8096466064453125,18.06037962814617,40.489306452656265
37,lena_256,56,2,5.3661956787109375,19.55285075310155,40.8341385566376
38,lena_256,56,3,5.4516143798828125,19.246486619625667,40.76555232452883
39,lena_256,56,4,5.6110992431640625,18.699441708432026,40.640324107569754
40,lena_256,64,0,6.55438232421875,16.00828545354652,39.96548590215249
41,lena_256,64,1,5.934234619140625,17.6812057412331,40.3971564804384
42,lena_256,64,2,5.2606964111328125,19.944968311748582,40.920371209932156
43,lena_256,64,3,6.2047119140625,16.910442365578707,40.203587389392794
44,lena_256,64,4,6.10687255859375,17.181367747738744,40.272615038615655
45,lena_256,72,0,6.6548919677734375,15.766510369495684,39.89939351121932
46,lena_256,72,1,8.199203491210938,12.79690439812187,38.99308695822418
47,lena_256,72,2,7.0779266357421875,14.824175018701803,39.63174304100387
48,lena_256,72,3,6.4355316162109375,16.303924753235854,40.044959326343985
49,lena_256,72,4,6.94781494140625,15.101787267312643,39.712321185937746
50,lena_256,80,0,7.6130218505859375,13.782230667011406,39.315232845784365
51,lena_256,80,1,7.7450103759765625,13.547357346767091,39.24058356948754
52,lena_256,80,2,7.33660888671875,14.301487899636449,39.475849933356365
53,lena_256,80,3,7.3674163818359375,14.241684978802107,39.457651454417494
54,lena_256,80,4,6.52886962890625,16.070840617375126,39.9824236434369
55,lena_256,88,0,7.764923095703125,13.512615891306826,39.22943202062465
56,lena_256,88,1,7.971282958984375,13.162802494611471,39.11552135184915
57,lena_256,88,2,8.350006103515625,12.565790002668003,38.91393567932549
58,lena_256,88,3,8.61029052734375,12.185932969922947,38.78062555257051
59,lena_256,88,4,8.963165283203125,11.706179670077118,38.60618955862792
60,lena_256,96,0,10.120208740234375,10.367812157928224,38.0789089047905
61,lena_256,96,1,9.728042602539062,10.785769296527103,38.25054897005953
62,lena_256,96,2,9.211257934570312,11.390889709426855,38.48761417235978
63,lena_256,96,3,7.683837890625,13.655210418453914,39.27502167087115
64,lena_256,96,4,9.2374267578125,11.358620313718236,38.47529352907949
65,lena_256,104,0,9.48699951171875,11.059811175089266,38.35951482639695
66,lena_256,104,1,10.62481689453125,9.875410019703924,37.86758906604847
67,lena_256,104,2,8.319915771484375,12.611236231187666,38.92961431231599
68,lena_256,104,3,10.528900146484375,9.965373567799288,37.906973539046625
69,lena_256,104,4,9.691665649414062,10.826252887099644,38.266819377713226
70,lena_256,112,0,10.27630615234375,10.210324766729823,38.01243326552999
71,lena_256,112,1,11.602554321289062,9.043217580567738,37.485267504753246
72,lena_256,112,2,10.154754638671875,10.332541449912998,38.06410926515388
73,lena_256,112,3,10.264297485351562,10.222270288591472,38.01751130364016
74,lena_256,112,4,10.473602294921875,10.01798810602595,37.92984282079616
75,lena_256,120,0,11.286636352539062,9.296341260624512,37.605158282596676
76,lena_256,120,1,11.209259033203125,9.360513741985544,37.635034555367056
77,lena_256,120,2,11.343856811523438,9.249448839233231,37.583196249010726
78,lena_256,120,3,12.422882080078125,8.446061271565542,37.18857998016829
79,lena_256,120,4,13.236312866210938,7.927012928624539,36.91313336857042
80,lena_256,128,0,11.440994262695312,9.170918261876215,37.54616593050852
81,lena_256,128,1,10.056121826171875,10.433885451218291,38.10649834842186
82,lena_256,128,2,10.799774169921875,9.715427523475007,37.79665686657089
83,lena_256,128,3,12.204025268554688,8.597525890750598,37.26577262685602
84,lena_256,128,4,11.784317016601562,8.903733926196788,37.41775943673795
