im,L,k,qs,MSE,SNR,PSNR
airplane_256,64,0,0.45,12.266632080078125,9.472746813682196,37.24355021434631
airplane_256,64,1,0.45,11.337509155273438,10.249050153765403,37.585627100978286
airplane_256,64,2,0.45,14.56304931640625,7.979008889317313,36.49828040655092
airplane_256,64,3,0.45,12.298965454101562,9.447843429174034,37.23211779222912
airplane_256,64,4,0.45,13.842788696289062,8.394168436763186,36.71856771223375
arctichare_256,64,0,0.45,9.676773071289062,6.5655771180601,38.27349804280223
arctichare_256,64,1,0.45,10.94317626953125,5.805773231526049,37.73936966099055
arctichare_256,64,2,0.45,9.72540283203125,6.532747378264226,38.25172761759107
arctichare_256,64,3,0.45,11.188568115234375,5.678438849293697,37.643058506972686
arctichare_256,64,4,0.45,10.03564453125,6.330794166301756,38.11535090932658
baboon_256,64,0,0.45,14.579498291015625,6.796671208876776,36.49337781549356
baboon_256,64,1,0.45,13.56378173828125,7.305636303092756,36.8069956815929
baboon_256,64,2,0.45,14.777145385742188,6.705764455022795,36.434898146952854
baboon_256,64,3,0.45,14.830184936523438,6.681781562303544,36.41933794032998
baboon_256,64,4,0.45,11.791458129882812,8.403715230374047,37.41512847663736
barbara_256,64,0,0.45,12.146560668945312,8.898661745622377,37.28627037168034
barbara_256,64,1,0.45,12.933212280273438,8.35740823109259,37.01373954910012
barbara_256,64,2,0.45,13.550704956054688,7.97656912434872,36.81118471520167
barbara_256,64,3,0.45,15.464630126953125,6.989377300220032,36.23740823579745
barbara_256,64,4,0.45,14.994720458984375,7.208412791774449,36.371419870879485
boat_256,64,0,0.45,8.966079711914062,11.914510016150414,38.604777652751736
boat_256,64,1,0.45,13.742202758789062,7.773604305531035,36.7502400883493
boat_256,64,2,0.45,14.475250244140625,7.379937806356401,36.52454280440113
boat_256,64,3,0.45,12.445968627929688,8.583216760925827,37.180516589273324
boat_256,64,4,0.45,14.501785278320312,7.366434165378598,36.516588904400834
fruits_256,64,0,0.45,13.579910278320312,8.341563171017548,36.80183460272405
fruits_256,64,1,0.45,12.9530029296875,8.745283241134285,37.007098971141026
fruits_256,64,2,0.45,11.3795166015625,9.954524731551903,37.569565471157944
fruits_256,64,3,0.45,15.95648193359375,7.099163832904284,36.101432160366
fruits_256,64,4,0.45,13.865798950195312,8.169574638305551,36.711354620954346
lena_256,64,0,0.45,14.684906005859375,7.1450524215754525,36.462091898025704
lena_256,64,1,0.45,14.829071044921875,7.0755897587869585,36.41966415011523
lena_256,64,2,0.45,13.981399536132812,7.504572267362229,36.67529714465558
lena_256,64,3,0.45,11.912246704101562,8.80811368535932,37.37086681738255
lena_256,64,4,0.45,15.902725219726562,6.597889466619203,36.116088059517196
monarch_256,64,0,0.45,14.70660400390625,7.580998161467174,36.45567962282864
monarch_256,64,1,0.45,14.259658813476562,7.818611887801344,36.58971226459854
monarch_256,64,2,0.45,14.274826049804688,7.810304484695595,36.58509536144087
monarch_256,64,3,0.45,15.984161376953125,6.97507584450397,36.09390505303417
monarch_256,64,4,0.45,13.516830444335938,8.248290039160615,36.82205494847517
peppers_256,64,0,0.45,10.85308837890625,10.215845504085662,37.7752702129515
peppers_256,64,1,0.45,14.448715209960938,7.673587063620552,36.53251129832887
peppers_256,64,2,0.45,11.392166137695312,9.732431284883278,37.564740509938275
peppers_256,64,3,0.45,13.794342041015625,8.037605113127277,36.73379370425369
peppers_256,64,4,0.45,11.913619995117188,9.306447088839109,37.370366174347545
zelda_256,64,0,0.45,12.09759521484375,8.59523503206244,37.303813119332084
zelda_256,64,1,0.45,14.804550170898438,7.023629424332968,36.4268514477005
zelda_256,64,2,0.45,11.249969482421875,9.242840556750643,37.61929016521308
zelda_256,64,3,0.45,15.750778198242188,6.6016848745886385,36.157783450373195
zelda_256,64,4,0.45,16.073440551757812,6.469160965227471,36.06971512560563
