im,L,k,qs,MSE,SNR,PSNR
airplane_256,128,0,0.15,2.972808837890625,39.087175223019514,43.399133774344
airplane_256,128,1,0.15,3.0838775634765625,37.679414165903864,43.23983233564882
airplane_256,128,2,0.15,3.1661529541015625,36.70028000404825,43.12548469445253
airplane_256,128,3,0.15,3.0171966552734375,38.51213998533391,43.334767432627864
airplane_256,128,4,0.15,2.7329864501953125,42.51711527617261,43.76442882347586
arctichare_256,128,0,0.15,2.877288818359375,22.081064454885823,43.54096902896882
arctichare_256,128,1,0.15,2.9875946044921875,21.265803518986694,43.37758694423549
arctichare_256,128,2,0.15,2.641571044921875,24.051444679351658,43.91218065359388
arctichare_256,128,3,0.15,2.645751953125,24.013437759527545,43.90531235467936
arctichare_256,128,4,0.15,2.9951324462890625,21.21228392828941,43.36664328993774
baboon_256,128,0,0.15,3.410491943359375,29.05506241331484,42.80263332937908
baboon_256,128,1,0.15,3.5919647216796875,27.587146298050577,42.57748298255461
baboon_256,128,2,0.15,3.2380218505859375,30.602652127403903,43.028005857659096
baboon_256,128,3,0.15,2.8955230712890625,34.22250620517388,43.513533311621124
baboon_256,128,4,0.15,3.1368865966796875,31.589301436430762,43.16581542306114
barbara_256,128,0,0.15,3.4733123779296875,31.119612348271513,42.72336516828565
barbara_256,128,1,0.15,3.540863037109375,30.52592930955726,42.63971232578598
barbara_256,128,2,0.15,3.2386474609375,33.37446760393502,43.02716684886838
barbara_256,128,3,0.15,3.450103759765625,31.328951907512405,42.75248204456655
barbara_256,128,4,0.15,3.3366851806640625,32.39386664105765,42.897651283666164
boat_256,128,0,0.15,3.3520965576171875,31.868546951744104,42.87763840815292
boat_256,128,1,0.15,3.154541015625,33.86433906044424,43.14144182353422
boat_256,128,2,0.15,2.914703369140625,36.6508810687998,43.484859978965375
boat_256,128,3,0.15,3.14288330078125,33.98995009030354,43.157521054525176
boat_256,128,4,0.15,3.2272186279296875,33.10170733667771,43.04251973187209
fruits_256,128,0,0.15,3.1381378173828125,36.09710154088524,43.164083483172604
fruits_256,128,1,0.15,3.362884521484375,33.68467716321067,42.86368406590202
fruits_256,128,2,0.15,3.276763916015625,34.56998500554143,42.97635208367172
fruits_256,128,3,0.15,3.1975860595703125,35.42599865430408,43.08258118993672
fruits_256,128,4,0.15,3.35101318359375,33.80400888840318,42.87904224423043
lena_256,128,0,0.15,3.2226104736328125,32.55882896063864,43.048725466293575
lena_256,128,1,0.15,3.1446533203125,33.36597472924188,43.15507586881282
lena_256,128,2,0.15,3.104461669921875,33.79794449851072,43.21094058787434
lena_256,128,3,0.15,3.2509918212890625,32.27458849040398,43.010644839505275
lena_256,128,4,0.15,3.1868133544921875,32.92455865664996,43.097237324389866
monarch_256,128,0,0.15,3.1521759033203125,35.36945314428723,43.14469916101856
monarch_256,128,1,0.15,3.2277069091796875,34.5417787463776,43.04186268989174
monarch_256,128,2,0.15,3.562744140625,31.293501164942096,42.61295726365507
monarch_256,128,3,0.15,3.2123260498046875,34.70716738788636,43.06260741308432
monarch_256,128,4,0.15,3.39031982421875,32.88502079320215,42.82839691767559
peppers_256,128,0,0.15,3.1499786376953125,35.19816699525763,43.14772752336248
peppers_256,128,1,0.15,3.2131805419921875,34.50583391506276,43.06145232518971
peppers_256,128,2,0.15,3.3683319091796875,32.91643374541896,42.856654813588726
peppers_256,128,3,0.15,3.1091156005859375,35.66077572033628,43.204434909433324
peppers_256,128,4,0.15,3.234039306640625,34.28327970332066,43.03335066833277
zelda_256,128,0,0.15,3.082061767578125,33.73769964254949,43.242390227056475
zelda_256,128,1,0.15,2.8971099853515625,35.891517657282805,43.51115377875204
zelda_256,128,2,0.15,3.1561126708984375,32.94612234636602,43.139278620605566
zelda_256,128,3,0.15,3.351898193359375,31.021728046615376,42.87789541462682
zelda_256,128,4,0.15,3.1338043212890625,33.180653140322434,43.17008485786242
