im,L,k,qs,MSE,SNR,PSNR
airplane_256,128,0,1.0,4.552947998046875,25.521640045311045,41.547876708694645
airplane_256,128,1,1.0,6.04925537109375,19.208760884261082,40.31378442104344
airplane_256,128,2,1.0,4.6495208740234375,24.991542806134337,41.456721590507826
airplane_256,128,3,1.0,4.0674896240234375,28.567669666537867,42.03753907122595
airplane_256,128,4,1.0,5.57635498046875,20.837751606230093,40.66729948512589
arctichare_256,128,0,1.0,3.6836395263671875,17.24750736296192,42.46803236457451
arctichare_256,128,1,1.0,4.3362274169921875,14.651814525351979,41.75968309811098
arctichare_256,128,2,1.0,4.3252410888671875,14.689030865133935,41.77070040825106
arctichare_256,128,3,1.0,4.4537200927734375,14.265288013183545,41.64357441834873
arctichare_256,128,4,1.0,4.1770782470703125,15.210057388337491,41.92207750110193
baboon_256,128,0,1.0,5.144134521484375,19.263115274407788,41.01768043802741
baboon_256,128,1,1.0,4.6490631103515625,21.314414092116017,41.457149191607535
baboon_256,128,2,1.0,5.577728271484375,17.765665778487836,40.66623007816581
baboon_256,128,3,1.0,3.933441162109375,25.192205041469148,42.18307702654191
baboon_256,128,4,1.0,5.4271087646484375,18.2587194345336,40.785118355085714
barbara_256,128,0,1.0,4.90789794921875,22.02330526917959,41.22184837080251
barbara_256,128,1,1.0,5.161041259765625,20.943086738766652,41.00343029831884
barbara_256,128,2,1.0,5.066558837890625,21.333638515609472,41.083672703942625
barbara_256,128,3,1.0,5.415252685546875,19.959942968886484,40.7946163446275
barbara_256,128,4,1.0,4.372528076171875,24.719826352780238,41.723477540865794
boat_256,128,0,1.0,4.336822509765625,24.63242299924706,41.759087124352476
boat_256,128,1,1.0,5.9149627685546875,18.06037513898097,40.4112834554084
boat_256,128,2,1.0,5.2220916748046875,20.456639443657135,40.95235869192487
boat_256,128,3,1.0,5.627777099609375,18.981996735552652,40.627434729450584
boat_256,128,4,1.0,4.6421356201171875,23.012349331255937,41.46362536637682
fruits_256,128,0,1.0,5.115142822265625,22.145555535668475,41.04222596513591
fruits_256,128,1,1.0,4.943572998046875,22.91413103197091,41.19039409426446
fruits_256,128,2,1.0,5.283599853515625,21.439488716766878,40.90150441401292
fruits_256,128,3,1.0,6.00994873046875,18.84836036438604,40.34209593718663
fruits_256,128,4,1.0,4.782073974609375,23.687981416601254,41.334640708706374
lena_256,128,0,1.0,5.1353607177734375,20.431753285534732,41.02509406169973
lena_256,128,1,1.0,5.20196533203125,20.170150418284855,40.96912907309806
lena_256,128,2,1.0,5.55059814453125,18.903264204264303,40.68740574705223
lena_256,128,3,1.0,4.70855712890625,22.283774061831615,41.401925167868754
lena_256,128,4,1.0,6.1205596923828125,17.142945823787073,40.2628922300351
monarch_256,128,0,1.0,5.91351318359375,18.853553624325244,40.412347915031575
monarch_256,128,1,1.0,6.047271728515625,18.43653517160635,40.31520877205985
monarch_256,128,2,1.0,5.304412841796875,21.018488047636854,40.884430430698266
monarch_256,128,3,1.0,5.890472412109375,18.927299903118346,40.42930234545159
monarch_256,128,4,1.0,5.1612396240234375,21.60154265965404,41.0032633807479
peppers_256,128,0,1.0,4.1920623779296875,26.448431374690152,41.906526245379695
peppers_256,128,1,1.0,4.465789794921875,24.827293538797964,41.63182083926938
peppers_256,128,2,1.0,5.6385955810546875,19.663313767992403,40.61909414216214
peppers_256,128,3,1.0,4.975189208984375,22.285277898752966,41.16270759031334
peppers_256,128,4,1.0,5.42083740234375,20.45320047289309,40.79013980025966
zelda_256,128,0,1.0,5.162384033203125,20.142181117397037,41.00230052001156
zelda_256,128,1,1.0,6.03302001953125,17.23542667813243,40.32545594418152
zelda_256,128,2,1.0,4.2176513671875,24.65392825099129,41.88009682942936
zelda_256,128,3,1.0,5.5446014404296875,18.75367874706567,40.69210027414849
zelda_256,128,4,1.0,4.774688720703125,21.777686520897117,41.341352972596695
