im,L,k,qs,MSE,SNR,PSNR
airplane_256,128,0,0.7,2.489593505859375,46.67376408144253,44.16951918420268
airplane_256,128,1,0.7,2.85986328125,40.6308583745945,43.567350891437435
airplane_256,128,2,0.7,2.951019287109375,39.37578465134076,43.431083129207124
airplane_256,128,3,0.7,3.142852783203125,36.9723649075108,43.157563224974595
airplane_256,128,4,0.7,2.8489227294921875,40.78689068969026,43.583996907124096
arctichare_256,128,0,0.7,1.8331146240234375,34.65882548799267,45.498907387728735
arctichare_256,128,1,0.7,2.251953125,28.21266532957502,44.60521014549042
arctichare_256,128,2,0.7,2.5970458984375,24.4637955346651,43.98600735743041
arctichare_256,128,3,0.7,2.4064483642578125,26.401397510604976,44.317038135158626
arctichare_256,128,4,0.7,2.3652801513671875,26.860919547645008,44.39197773516195
baboon_256,128,0,0.7,2.7394561767578125,36.17216333487437,43.754160034760794
baboon_256,128,1,0.7,2.6607513427734375,37.242133333333335,43.880760708739366
baboon_256,128,2,0.7,2.264312744140625,43.76253083008747,44.58143949979666
baboon_256,128,3,0.7,2.5628814697265625,38.66431493025166,44.0435183983156
baboon_256,128,4,0.7,2.9173583984375,33.96636365538307,43.48090575248926
barbara_256,128,0,0.7,2.5621337890625,42.186764495688216,44.04478556952402
barbara_256,128,1,0.7,2.7858123779296875,38.79950265923942,43.68128497155296
barbara_256,128,2,0.7,2.9631805419921875,36.47706686577924,43.41322247692868
barbara_256,128,3,0.7,2.776214599609375,38.93363819239098,43.696273271024026
barbara_256,128,4,0.7,3.208160400390625,33.6916242568371,43.068242870216594
boat_256,128,0,0.7,2.772735595703125,38.527455231847846,43.70171903046967
boat_256,128,1,0.7,2.1201171875,50.387048019345926,44.86720494053302
boat_256,128,2,0.7,2.485321044921875,42.98295656872015,44.176978635602424
boat_256,128,3,0.7,2.4448089599609375,43.69521229785986,44.24835432327001
boat_256,128,4,0.7,2.807830810546875,38.04589868162205,43.64709425593762
fruits_256,128,0,0.7,2.5626220703125,44.203817939313105,44.04395798725882
fruits_256,128,1,0.7,2.46978759765625,45.865352774002226,44.20420755435076
fruits_256,128,2,0.7,2.7506866455078125,41.181600829870916,43.73639241898812
fruits_256,128,3,0.7,2.9212799072265625,38.77672905055655,43.47507189262414
fruits_256,128,4,0.7,2.8500213623046875,39.7462562707799,43.582322455975486
lena_256,128,0,0.7,2.53204345703125,41.43863444618537,44.096092057362924
lena_256,128,1,0.7,3.052825927734375,34.36960563802669,43.28378319353294
lena_256,128,2,0.7,2.6898345947265625,39.00776033718892,43.83354785997896
lena_256,128,3,0.7,2.9904022216796875,35.08706034830262,43.37350754179706
lena_256,128,4,0.7,2.17047119140625,48.34177188493012,44.765263350315145
monarch_256,128,0,0.7,2.5769195556640625,43.26512159449553,44.0197949958379
monarch_256,128,1,0.7,3.0582733154296875,36.45545260868047,43.27604065508175
monarch_256,128,2,0.7,2.6432342529296875,42.17966598740381,43.909447072910424
monarch_256,128,3,0.7,3.021728515625,36.896345035145835,43.3282491789413
monarch_256,128,4,0.7,2.803924560546875,39.76238857627967,43.653140360878936
peppers_256,128,0,0.7,2.290618896484375,48.403282750902626,44.53127521753429
peppers_256,128,1,0.7,2.5930328369140625,42.75822216468456,43.99272344368407
peppers_256,128,2,0.7,2.7545013427734375,40.25174081398634,43.73037372447207
peppers_256,128,3,0.7,2.6819915771484375,41.3399784942566,43.84622951261242
peppers_256,128,4,0.7,2.281280517578125,48.60142067876875,44.54901669302043
zelda_256,128,0,0.7,2.8060760498046875,37.05590024959353,43.64980923839517
zelda_256,128,1,0.7,2.631744384765625,39.510552315131555,43.92836655894377
zelda_256,128,2,0.7,2.774078369140625,37.4833225157039,43.699616349148684
zelda_256,128,3,0.7,2.54034423828125,40.93211960308498,44.081877896589035
zelda_256,128,4,0.7,3.0275421142578125,34.34524451522834,43.31990167810024
